1.0000,1000.0000,0.6903,0.8290,0.8613,0.7645,0.7452,0.7613,0.8000,0.7839,0.7710,0.7613
1.0000,1500.0000,0.7968,0.8323,0.8742,0.7581,0.7323,0.7742,0.8129,0.7677,0.7710,0.7806
1.0000,2000.0000,0.7903,0.8419,0.8742,0.7484,0.7419,0.7774,0.8065,0.7710,0.7806,0.7710
1.0000,2500.0000,0.7968,0.8452,0.8645,0.7516,0.7516,0.7742,0.7968,0.7806,0.7806,0.7613
1.0000,3000.0000,0.8097,0.8419,0.8581,0.7645,0.7484,0.7645,0.8097,0.7839,0.7742,0.7581
1.0000,3500.0000,0.8065,0.8323,0.8645,0.7710,0.7355,0.7645,0.8194,0.7774,0.7645,0.7710
1.0000,4000.0000,0.8000,0.8258,0.8774,0.7742,0.7323,0.7710,0.8194,0.7710,0.7677,0.7806
1.0000,4500.0000,0.7903,0.8387,0.8774,0.7516,0.7355,0.7774,0.8097,0.7677,0.7774,0.7774
1.0000,5000.0000,0.7903,0.8452,0.8677,0.7452,0.7452,0.7806,0.8000,0.7742,0.7774,0.7677
1.0000,5500.0000,0.8032,0.8484,0.8613,0.7548,0.7516,0.7677,0.8032,0.7839,0.7742,0.7613
1.0000,6000.0000,0.8097,0.8387,0.8613,0.7710,0.7387,0.7613,0.8129,0.7871,0.7677,0.7677
