out_port,frequency,LA0,LA1,LA2,LA3,LA4,LA5,LA6,LA7,LA8,LA9
1.0000,1200.0000,-48.5030,-49.4489,-49.5219,-48.5755,-50.4007,-52.2478,-48.5755,-48.6481,-52.6943,-51.3585
1.0000,1250.0000,-48.7758,-50.8284,-47.6151,-49.2133,-53.9587,-51.6423,-46.6069,-50.7546,-52.1624,-47.0381
1.0000,1300.0000,-51.1811,-50.1470,-45.7208,-50.7371,-53.1199,-48.6814,-47.6639,-52.2968,-50.5893,-47.3744
1.0000,1350.0000,-51.0864,-46.9848,-46.4078,-53.3288,-51.5324,-48.5101,-51.3093,-51.3836,-47.8545,-49.3886
1.0000,1400.0000,-50.3202,-46.5908,-49.3610,-51.7328,-49.0670,-49.8030,-51.5835,-48.6271,-48.6271,-53.5351
1.0000,1450.0000,-47.6436,-47.5708,-50.0684,-49.6985,-50.1424,-52.6063,-50.5876,-48.2280,-51.5564,-52.1555
1.0000,1500.0000,-48.7048,-51.0768,-49.3683,-49.2206,-53.1060,-52.2762,-46.7312,-49.5162,-52.9548,-49.3683
1.0000,1550.0000,-50.2948,-50.5184,-45.9614,-50.2948,-53.9861,-50.5184,-47.4899,-52.6960,-51.7162,-47.2706
1.0000,1600.0000,-51.4526,-48.9167,-46.3484,-53.4951,-52.1306,-48.5472,-50.0305,-51.9797,-48.1785,-48.4734
1.0000,1650.0000,-50.8090,-46.5884,-47.9089,-52.9999,-49.4639,-49.7618,-51.9385,-50.1350,-48.5735,-53.1520
1.0000,1700.0000,-48.6705,-47.4141,-50.4615,-50.9124,-49.9371,-52.5764,-50.9877,-48.0780,-50.5366,-52.7285
1.0000,1750.0000,-48.3186,-50.7865,-49.7349,-49.1371,-51.6176,-52.5291,-47.4307,-49.2863,-53.2160,-50.9373
1.0000,1800.0000,-49.5286,-50.8077,-46.5587,-49.9789,-54.3965,-51.5648,-47.1482,-52.4780,-52.2492,-47.2221
1.0000,1850.0000,-51.8126,-50.0700,-46.1981,-53.3430,-53.4199,-48.6443,-48.8686,-52.3467,-49.0932,-48.1222
1.0000,1900.0000,-51.1435,-46.5705,-47.0886,-53.2091,-50.3092,-49.1785,-52.2114,-51.2956,-48.2048,-51.8292
1.0000,1950.0000,-49.4114,-47.2393,-50.5465,-51.7658,-49.7133,-51.7658,-51.5365,-47.9850,-49.6378,-53.3026
1.0000,2000.0000,-47.9857,-49.7938,-50.1730,-48.9626,-51.0868,-52.9293,-48.9626,-49.0380,-53.3156,-51.8520
1.0000,2050.0000,-49.3403,-51.1678,-47.6828,-49.8713,-54.6485,-51.9352,-46.9349,-51.5510,-52.6288,-47.2337
1.0000,2100.0000,-51.7071,-50.3270,-45.9570,-51.6301,-53.6426,-48.8068,-48.0520,-52.6334,-50.4798,-47.7510
1.0000,2150.0000,-51.3207,-46.7642,-46.6894,-53.4901,-51.2438,-48.8750,-51.9377,-51.5518,-48.0425,-50.5526
1.0000,2200.0000,-50.2385,-46.8985,-50.0853,-52.0113,-49.4735,-50.6992,-51.7791,-48.1810,-49.0162,-53.6461
1.0000,2250.0000,-47.7101,-48.6972,-50.3042,-49.3076,-50.6891,-53.2512,-50.2273,-48.7734,-52.7825,-52.3151
1.0000,2300.0000,-49.1377,-51.2946,-49.0611,-49.5208,-54.1867,-52.3833,-46.8571,-50.5211,-52.7737,-47.7656
1.0000,2350.0000,-51.1236,-50.5037,-45.7752,-50.6585,-53.8620,-49.7320,-47.7418,-52.8399,-51.7458,-47.4377
1.0000,2400.0000,-51.6498,-47.4860,-46.2718,-53.7698,-52.1187,-48.7091,-51.0265,-51.7278,-47.8672,-48.7858
1.0000,2450.0000,-50.6920,-46.5412,-49.0657,-52.0982,-49.0657,-49.8382,-51.9414,-49.1428,-48.6808,-53.8322
1.0000,2500.0000,-47.8033,-47.5733,-50.3532,-50.0421,-50.1975,-52.7831,-50.8209,-48.1872,-51.3681,-52.5465
1.0000,2550.0000,-48.6138,-51.1822,-49.5434,-49.0780,-53.0741,-52.5992,-46.6934,-49.3881,-52.8365,-49.6211
1.0000,2600.0000,-50.1308,-50.6786,-45.8864,-50.1308,-54.0810,-50.6002,-47.1871,-52.7281,-51.9371,-47.0335
1.0000,2650.0000,-51.5075,-48.9994,-45.9910,-53.5716,-53.0136,-48.3780,-49.7012,-52.0609,-48.3005,-48.3005
1.0000,2700.0000,-50.7582,-46.2465,-47.2475,-52.9782,-49.3454,-49.4236,-51.9441,-50.2860,-48.2544,-53.0580
1.0000,2750.0000,-48.5947,-46.9637,-50.2411,-50.9515,-49.5336,-52.1416,-50.8724,-47.7385,-49.9263,-52.9394
1.0000,2800.0000,-47.6067,-50.1929,-49.6411,-48.6209,-50.9048,-52.4969,-47.2958,-48.8558,-53.0575,-51.2221
1.0000,2850.0000,-48.9582,-50.6958,-46.5385,-49.5093,-54.3026,-51.4912,-46.5385,-51.8104,-52.2101,-46.6160
1.0000,2900.0000,-51.5190,-49.7691,-45.4681,-51.6789,-53.2052,-48.1928,-47.8010,-52.2398,-49.6108,-47.3319
1.0000,2950.0000,-50.7441,-46.0195,-46.0972,-53.1535,-50.4252,-48.3661,-51.6239,-50.9037,-47.5804,-50.3456
1.0000,3000.0000,-49.6470,-46.2602,-49.5675,-51.4851,-48.7745,-50.0450,-51.2443,-47.5129,-48.3793,-53.1794
1.0000,3050.0000,-46.9700,-47.9940,-49.5808,-48.6271,-50.0596,-52.7154,-49.7403,-47.9940,-51.9873,-51.8259
1.0000,3100.0000,-48.3171,-50.5525,-48.1585,-48.8734,-53.8750,-51.7612,-45.8742,-49.8310,-52.1659,-46.8159
1.0000,3150.0000,-50.4817,-49.7587,-44.8542,-49.9994,-53.2389,-48.8787,-46.8946,-52.2612,-50.8040,-46.5792
1.0000,3200.0000,-50.8114,-46.4963,-45.3942,-53.0889,-51.4593,-47.8438,-50.4076,-51.1351,-47.1292,-47.9234
2.0000,1200.0000,-50.1806,-46.3426,-48.8661,-51.7284,-48.7207,-49.4489,-51.5064,-48.6481,-48.4305,-53.3665
2.0000,1250.0000,-47.5429,-47.3985,-50.0187,-49.7254,-49.8720,-52.3113,-50.5335,-47.9769,-50.9761,-52.0880
2.0000,1300.0000,-48.4628,-50.5893,-49.2660,-48.9004,-52.1476,-52.1476,-46.5812,-49.1928,-52.8201,-49.4857
